t	x_tail	x_peak	y_peak	x_mean	x_nose	x_nose_ISC	volume	UmeanV	delta_min	delta_mean	delta_max	delta_min_smooth	delta_max_smooth
0.17413 2.20371675491333 2.400868855114996 0.45354651770502175 3.482412576675415 5.025411128997803 ? 1.6028870953001435 1.231924335226549 0.046408642458032 0.05009076414782704 0.05420611364723771 0 0
0.362973 2.5704588890075684 2.422572991027512 0.4611680447001138 3.715386152267456 5.3875555992126465 ? 1.6027848798041806 1.2346085875935982 0.038786353157779396 0.055565465357024835 0.4947621720838948 0 0
0.556045 2.931124448776245 2.519777292966342 0.48688304066001276 3.9540443420410156 5.733437538146973 ? 1.6030323163324283 1.2381860427917628 0.013068703974166096 0.07487342657214474 0.4947621720838948 0 0
0.749304 3.271700859069824 2.676414032938099 0.46932892351315403 4.1944427490234375 6.0676045417785645 ? 1.6024117825496684 1.2466499295118174 0.0306241715363757 0.0860789753447263 0.49962677128911037 0 0
0.942563 3.598818063735962 2.9266651898983156 0.3539927520541029 4.436427593231201 6.395863056182861 ? 1.60204435753077 1.2536317394073613 0.04093597655346293 0.08623510694035941 0.4947621720838948 0 0
1.10827 3.8669941425323486 3.171819381039552 0.3310865973914158 4.644898414611816 6.668406963348389 ? 1.6018262134374688 1.2596052634905073 0.04427965524868088 0.08556231860604396 0.499281255151443 0 0
1.27861 4.136969566345215 3.4567316831952515 0.31160119359604266 4.860060691833496 6.95267391204834 ? 1.6019011316685838 1.267228512113857 0.04532408090095574 0.08387459237545769 0.4947621720838948 0 0
1.44432 4.399276256561279 3.4132844076500928 0.4611902935474117 5.0706281661987305 7.223056793212891 ? 1.6020840134182555 1.2745559568494436 0.03876410208515174 0.09897199571259424 0.4947621720838948 0 0
1.62507 4.683461666107178 3.5864197543793077 0.4665414113164173 5.301659107208252 7.518121719360352 ? 1.6022185367888822 1.2823034519751844 0.033412449097325436 0.10418515739935791 0.4947621720838948 0 0
1.78192 4.930672645568848 3.7683324851993563 0.4635336034121406 5.503255367279053 7.773712635040283 ? 1.6024879567580324 1.289342352257071 0.03642007962533644 0.10683274214173982 0.4947621720838948 0 0
1.9472 5.191119194030762 3.9586463447141225 0.46283619496184586 5.717048645019531 8.045130729675293 ? 1.6025836707707721 1.2963767376150304 0.03711789582592889 0.11029191312661513 0.4961641088664725 0 0
2.11013 5.44596004486084 4.118930711926478 0.46225621431158664 5.928882598876953 8.307597160339355 ? 1.6025120603365686 1.3033906394211903 0.03769807470757769 0.11560277276204933 0.4947621720838948 0 0
2.27704 5.708067417144775 4.294609249419052 0.4635893544623157 6.147180080413818 8.579387664794922 ? 1.6025327472167943 1.3107221532549653 0.03636480121616542 0.12070317271023179 0.4947621720838948 0 0
