xp,yp,label,umag,ux
12.5818,-0.262963,0,0.0,0.0
12.5786,-0.263474,0,0.0,0.0
12.5676,-0.265494,0,0.0,0.0
12.5566,-0.265878,0,0.0,0.0
12.5456,-0.266225,0,0.0,0.0
12.5346,-0.266651,0,0.0,0.0
12.5236,-0.26681,0,0.0,0.0
12.5126,-0.266783,0,0.0,0.0
12.5016,-0.266734,0,0.0,0.0
12.4906,-0.265218,0,0.0,0.0
12.4835,-0.262963,0,0.0,0.0
12.4796,-0.262035,0,0.0,0.0
12.4751,-0.262064,0,0.0,0.0
12.4739,-0.261992,0,0.0,0.0
12.4686,-0.262118,0,0.0,0.0
12.4631,-0.261339,0,0.0,0.0
12.4643,-0.26139,0,0.0,0.0
12.4576,-0.260348,0,0.0,0.0
12.4466,-0.258843,0,0.0,0.0
12.4356,-0.258312,0,0.0,0.0
12.4246,-0.257015,0,0.0,0.0
12.4191,-0.25644,0,0.0,0.0
12.4191,-0.25644,0,0.0,0.0
12.4136,-0.25557,0,0.0,0.0
12.4136,-0.255556,0,0.0,0.0
12.4081,-0.254398,0,0.0,0.0
12.4081,-0.254395,0,0.0,0.0
12.4026,-0.253412,0,0.0,0.0
12.3916,-0.251907,0,0.0,0.0
12.3806,-0.251024,0,0.0,0.0
12.3751,-0.249595,0,0.0,0.0
12.3733,-0.249274,0,0.0,0.0
12.3696,-0.24838,0,0.0,0.0
12.3692,-0.248148,0,0.0,0.0
12.3656,-0.247013,0,0.0,0.0
12.364,-0.246478,0,0.0,0.0
12.3586,-0.244791,0,0.0,0.0
12.3476,-0.24185,0,0.0,0.0
12.3458,-0.240741,0,0.0,0.0
12.3366,-0.236618,0,0.0,0.0
12.3293,-0.233333,0,0.0,0.0
12.3256,-0.231477,0,0.0,0.0
12.3194,-0.228392,0,0.0,0.0
12.3194,-0.22839,0,0.0,0.0
12.3146,-0.225926,0,0.0,0.0
12.3146,-0.225928,0,0.0,0.0
12.3098,-0.223433,0,0.0,0.0
12.3036,-0.220282,0,0.0,0.0
12.3098,-0.22343,0,0.0,0.0
12.3009,-0.218519,0,0.0,0.0
12.2926,-0.213141,0,0.0,0.0
12.2895,-0.211111,0,0.0,0.0
12.2795,-0.203704,0,0.0,0.0
12.2816,-0.205111,0,0.0,0.0
12.2844,-0.207195,0,0.0,0.0
12.2853,-0.207839,0,0.0,0.0
12.2764,-0.202002,0,0.0,0.0
12.2706,-0.198855,0,0.0,0.0
12.2755,-0.201383,0,0.0,0.0
12.2666,-0.196296,0,0.0,0.0
12.2596,-0.191552,0,0.0,0.0
12.2557,-0.188889,0,0.0,0.0
12.2486,-0.184401,0,0.0,0.0
12.2438,-0.181481,0,0.0,0.0
12.2376,-0.177799,0,0.0,0.0
12.2305,-0.174074,0,0.0,0.0
12.2266,-0.172233,0,0.0,0.0
12.2207,-0.169473,0,0.0,0.0
12.2201,-0.169233,0,0.0,0.0
12.2148,-0.166667,0,0.0,0.0
12.2156,-0.167065,0,0.0,0.0
12.2105,-0.165016,0,0.0,0.0
12.2046,-0.162887,0,0.0,0.0
