xp,yp,label,umag,ux
10.9622,0.217209,0,0.0,0.0
10.9617,0.216897,0,0.0,0.0
10.9658,0.218519,0,0.0,0.0
10.9734,0.220034,0,0.0,0.0
10.9678,0.219343,0,0.0,0.0
10.9723,0.220018,0,0.0,0.0
10.9788,0.220882,0,0.0,0.0
10.9898,0.223396,0,0.0,0.0
10.9971,0.225926,0,0.0,0.0
11.0008,0.227255,0,0.0,0.0
11.0118,0.229841,0,0.0,0.0
11.0228,0.232548,0,0.0,0.0
11.0254,0.233333,0,0.0,0.0
11.0338,0.235616,0,0.0,0.0
11.0448,0.237995,0,0.0,0.0
11.0518,0.240741,0,0.0,0.0
11.0558,0.242297,0,0.0,0.0
11.0668,0.24427,0,0.0,0.0
11.0778,0.247773,0,0.0,0.0
11.079,0.248148,0,0.0,0.0
11.0888,0.250838,0,0.0,0.0
11.0998,0.254224,0,0.0,0.0
11.1026,0.255556,0,0.0,0.0
11.1108,0.258144,0,0.0,0.0
11.1218,0.25975,0,0.0,0.0
11.1292,0.262963,0,0.0,0.0
11.1328,0.264814,0,0.0,0.0
11.1438,0.266415,0,0.0,0.0
11.1545,0.27037,0,0.0,0.0
11.1548,0.27052,0,0.0,0.0
11.1658,0.274203,0,0.0,0.0
11.1768,0.2752,0,0.0,0.0
11.1845,0.277778,0,0.0,0.0
11.1878,0.279167,0,0.0,0.0
11.1988,0.281447,0,0.0,0.0
11.2098,0.28624,0,0.0,0.0
11.2081,0.285185,0,0.0,0.0
11.2208,0.287088,0,0.0,0.0
11.2318,0.28887,0,0.0,0.0
11.2428,0.290444,0,0.0,0.0
11.251,0.292593,0,0.0,0.0
11.2538,0.293508,0,0.0,0.0
11.2648,0.295445,0,0.0,0.0
11.2758,0.296476,0,0.0,0.0
11.2868,0.29753,0,0.0,0.0
11.2978,0.299092,0,0.0,0.0
11.303,0.3,0,0.0,0.0
11.3088,0.301024,0,0.0,0.0
11.3199,0.302125,0,0.0,0.0
11.3309,0.30277,0,0.0,0.0
11.3419,0.303154,0,0.0,0.0
11.3529,0.303364,0,0.0,0.0
11.3639,0.303442,0,0.0,0.0
11.3749,0.303406,0,0.0,0.0
11.3859,0.303243,0,0.0,0.0
11.3969,0.3029,0,0.0,0.0
11.4079,0.302279,0,0.0,0.0
11.4189,0.301186,0,0.0,0.0
11.4252,0.3,0,0.0,0.0
11.4299,0.299105,0,0.0,0.0
11.4409,0.297391,0,0.0,0.0
11.4519,0.296258,0,0.0,0.0
11.4629,0.294812,0,0.0,0.0
11.4707,0.292593,0,0.0,0.0
11.4739,0.291523,0,0.0,0.0
11.4849,0.289171,0,0.0,0.0
11.4959,0.287118,0,0.0,0.0
11.5005,0.285185,0,0.0,0.0
11.5069,0.28277,0,0.0,0.0
11.5179,0.280418,0,0.0,0.0
11.5239,0.277778,0,0.0,0.0
11.5289,0.275504,0,0.0,0.0
11.5399,0.272548,0,0.0,0.0
11.5441,0.27037,0,0.0,0.0
11.5509,0.267308,0,0.0,0.0
11.561,0.262963,0,0.0,0.0
11.5619,0.262409,0,0.0,0.0
11.5729,0.257959,0,0.0,0.0
11.5771,0.255556,0,0.0,0.0
11.5839,0.251979,0,0.0,0.0
11.5904,0.248148,0,0.0,0.0
11.5949,0.245414,0,0.0,0.0
11.6058,0.240741,0,0.0,0.0
11.6059,0.240683,0,0.0,0.0
11.6151,0.233333,0,0.0,0.0
11.6169,0.232097,0,0.0,0.0
11.6262,0.225926,0,0.0,0.0
11.6279,0.224737,0,0.0,0.0
11.6369,0.218519,0,0.0,0.0
11.6389,0.217118,0,0.0,0.0
11.6468,0.211111,0,0.0,0.0
11.6499,0.208861,0,0.0,0.0
11.6552,0.203704,0,0.0,0.0
11.6609,0.199626,0,0.0,0.0
11.6659,0.196296,0,0.0,0.0
11.6719,0.19021,0,0.0,0.0
11.6738,0.188889,0,0.0,0.0
11.6774,0.181481,0,0.0,0.0
11.6829,0.177424,0,0.0,0.0
11.6878,0.174074,0,0.0,0.0
11.6911,0.166667,0,0.0,0.0
11.6939,0.163904,0,0.0,0.0
11.6981,0.159259,0,0.0,0.0
11.7007,0.151852,0,0.0,0.0
11.7049,0.148692,0,0.0,0.0
11.7104,0.144444,0,0.0,0.0
11.7123,0.137037,0,0.0,0.0
11.7159,0.133497,0,0.0,0.0
11.7196,0.12963,0,0.0,0.0
11.7213,0.122222,0,0.0,0.0
11.7249,0.114815,0,0.0,0.0
11.727,0.112334,0,0.0,0.0
11.7306,0.107407,0,0.0,0.0
11.7322,0.1,0,0.0,0.0
11.7347,0.0925926,0,0.0,0.0
11.7375,0.0851852,0,0.0,0.0
11.738,0.084763,0,0.0,0.0
11.7425,0.0777778,0,0.0,0.0
11.7433,0.0703704,0,0.0,0.0
11.7439,0.062963,0,0.0,0.0
11.7443,0.0555556,0,0.0,0.0
11.7454,0.0481481,0,0.0,0.0
11.747,0.0444137,0,0.0,0.0
11.7476,0.0432359,0,0.0,0.0
11.7497,0.0379208,0,0.0,0.0
11.7501,0.0369024,0,0.0,0.0
11.7488,0.0407407,0,0.0,0.0
11.749,0.0402534,0,0.0,0.0
11.7512,0.0333333,0,0.0,0.0
11.7518,0.0259259,0,0.0,0.0
11.7525,0.0185185,0,0.0,0.0
11.7526,0.0111111,0,0.0,0.0
11.7526,0.0037037,0,0.0,0.0
11.7526,-0.0037037,0,0.0,0.0
11.7526,-0.0111111,0,0.0,0.0
11.7527,-0.0185185,0,0.0,0.0
11.7528,-0.0259259,0,0.0,0.0
11.7514,-0.0333333,0,0.0,0.0
11.7501,-0.0367316,0,0.0,0.0
11.7498,-0.0374467,0,0.0,0.0
11.749,-0.0396501,0,0.0,0.0
11.7485,-0.0407407,0,0.0,0.0
11.7474,-0.043308,0,0.0,0.0
11.7469,-0.0443658,0,0.0,0.0
11.7452,-0.0481481,0,0.0,0.0
11.7442,-0.0555556,0,0.0,0.0
11.7436,-0.062963,0,0.0,0.0
11.7426,-0.0703704,0,0.0,0.0
11.7423,-0.0777778,0,0.0,0.0
11.74,-0.0815107,0,0.0,0.0
11.7374,-0.0851852,0,0.0,0.0
11.7396,-0.0821526,0,0.0,0.0
11.738,-0.0846842,0,0.0,0.0
11.7363,-0.0879454,0,0.0,0.0
11.7361,-0.08873,0,0.0,0.0
11.7345,-0.0925926,0,0.0,0.0
11.7321,-0.1,0,0.0,0.0
11.73,-0.107407,0,0.0,0.0
11.7236,-0.114815,0,0.0,0.0
11.727,-0.110649,0,0.0,0.0
11.7214,-0.122222,0,0.0,0.0
11.7159,-0.131443,0,0.0,0.0
11.718,-0.12963,0,0.0,0.0
11.7113,-0.137037,0,0.0,0.0
11.7093,-0.144444,0,0.0,0.0
11.7049,-0.147965,0,0.0,0.0
11.7003,-0.151852,0,0.0,0.0
11.6984,-0.159259,0,0.0,0.0
11.6939,-0.163069,0,0.0,0.0
11.6896,-0.166667,0,0.0,0.0
11.6868,-0.174074,0,0.0,0.0
11.6829,-0.176614,0,0.0,0.0
11.6772,-0.181481,0,0.0,0.0
11.6719,-0.188501,0,0.0,0.0
11.6714,-0.188889,0,0.0,0.0
11.665,-0.196296,0,0.0,0.0
11.6609,-0.199002,0,0.0,0.0
11.6547,-0.203704,0,0.0,0.0
11.6499,-0.207847,0,0.0,0.0
11.6455,-0.211111,0,0.0,0.0
11.6389,-0.216161,0,0.0,0.0
11.6356,-0.218519,0,0.0,0.0
11.6279,-0.225349,0,0.0,0.0
